"","sgUF","txNomeParlamentar","total.passageiros","total.vlrLiquido","gasto.medio.bilhete","quantidade.bilhetes"
"1","PR","CHRISTIANE DE SOUZA YARED",35,55541.78,500.376396396396,111
"2","SP","PAULO PEREIRA DA SILVA",35,89020.81,669.329398496241,133
"3","SP","MARCIO ALVINO",32,56034.19,441.214094488189,127
"4","PR","ALEX CANZIANI",31,85424.75,373.03384279476,229
"5","RJ","LEONARDO PICCIANI",25,129185.17,916.206879432624,141
"6","PA","EDMILSON RODRIGUES",24,74286.06,905.92756097561,82
"7","RN","ROGÉRIO MARINHO",23,62844.62,641.271632653061,98
"8","PR","ALIEL MACHADO",22,29539.95,410.277083333333,72
"9","PE","MARINALDO ROSENDO",21,65242.43,370.695625,176
"10","SP","EVANDRO GUSSI",19,65981.71,578.786929824561,114
"11","MT","SÁGUAS MORAES",18,30509.73,367.587108433735,83
"12","RS","PAULO PIMENTA",18,46430.23,892.889038461539,52
"13","SP","PAULO FREIRE",18,66086.59,508.358384615385,130
"14","RS","ONYX LORENZONI",17,99826.11,988.377326732673,101
"15","SP","TIRIRICA",17,51975.93,1181.27113636364,44
"16","PE","LUCIANA SANTOS",16,32452.24,612.30641509434,53
"17","RJ","CLARISSA GAROTINHO",16,62167.67,714.57091954023,87
"18","RJ","CRISTIANE BRASIL",16,41413.35,460.148333333333,90
"19","RJ","MARCELO MATOS",16,60272.73,568.610660377358,106
"20","RO","MARINHA RAUPP",16,58787.88,1049.78357142857,56
"21","RS","HENRIQUE FONTANA",16,75387.95,866.52816091954,87
"22","RS","PEPE VARGAS",16,67786.48,968.378285714286,70
"23","AL","MAURÍCIO QUINTELLA LESSA",15,32452.19,438.543108108108,74
"24","BA","JORGE SOLLA",15,28916.82,385.5576,75
"25","MG","MARGARIDA SALOMÃO",15,57211.05,589.804639175258,97
"26","PA","BETO FARO",15,58547.89,579.682079207921,101
"27","RS","JOSE STÉDILE",15,41672.02,969.116744186046,43
"28","RS","MARCON",15,55485.73,739.809733333333,75
"29","SC","DÉCIO LIMA",15,20222.82,594.788823529412,34
"30","SP","VICENTINHO",15,52521.69,772.377794117647,68
"31","AM","ARTHUR VIRGÍLIO BISNETO",14,37490.85,815.01847826087,46
"32","BA","SÉRGIO BRITO",14,47734.79,497.237395833333,96
"33","MG","SUBTENENTE GONZAGA",14,37849.95,600.792857142857,63
"34","MG","WADSON RIBEIRO",14,31778.27,512.552741935484,62
"35","PE","FERNANDO MONTEIRO",14,46326.59,409.96982300885,113
"36","PE","MENDONÇA FILHO",14,34168.91,488.127285714286,70
"37","AC","LEO DE BRITO",13,48018.78,1091.33590909091,44
"38","AM","MARCOS ROTTA",13,31751.53,512.121451612903,62
"39","CE","LUIZIANNE LINS",13,33561.57,780.501627906977,43
"40","PR","SERGIO SOUZA",13,80078.65,457.592285714286,175
"41","RJ","JEAN WYLLYS",13,29398.1,599.961224489796,49
"42","RJ","MARCOS SOARES",13,40146.8,1115.18888888889,36
"43","SC","ANGELA ALBINO",13,36392.81,713.584509803921,51
"44","SC","RONALDO BENEDET",13,38401.41,339.835486725664,113
